year,cjkb,foreignb,cjkj,foreignj,ebook,video
103,6.251928626,6.372591132,4.270306091,4.438146636,6.455743909,5.749801223
104,6.261604697,6.375829437,4.276484782,4.441585174,6.462257054,5.753288834
105,6.266408578,6.37804087,4.276553709,4.453394794,6.470876879,5.756041684
